epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.113,1.01707,1.83885,1.20617,0.38206,0.38371,0.33791,0.23422,1.06737,3.16467,1.22587,0.000474216,0.000474216,0.000474216
2,79.2883,1.12454,1.55883,1.2705,0.15991,0.24338,0.10727,0.06683,1.36535,6.12568,1.43457,0.000941139,0.000941139,0.000941139
3,116.878,1.12078,1.49275,1.27002,0.38941,0.6134,0.45131,0.30635,1.00267,3.39894,1.1759,0.00139863,0.00139863,0.00139863
4,163.995,1.09216,1.42941,1.26145,0.54771,0.53322,0.51275,0.3719,0.96902,1.74271,1.12718,0.00138656,0.00138656,0.00138656
5,210.61,1.06444,1.38641,1.2284,0.52506,0.53549,0.512,0.36323,0.95537,1.94886,1.11654,0.00137241,0.00137241,0.00137241
6,250.381,1.05736,1.31261,1.22919,0.64731,0.59747,0.6362,0.48203,0.89059,1.15097,1.08883,0.00135826,0.00135826,0.00135826
7,291.391,1.03356,1.24539,1.21414,0.71867,0.57051,0.67454,0.50377,0.89936,1.14357,1.08959,0.00134412,0.00134412,0.00134412
8,332.385,0.99741,1.26131,1.19619,0.74867,0.55746,0.66145,0.51841,0.85108,1.13391,1.04989,0.00132997,0.00132997,0.00132997
9,370.535,1.00118,1.19302,1.18676,0.64298,0.6025,0.63922,0.49761,0.84195,1.29698,1.04099,0.00131582,0.00131582,0.00131582
10,408.913,0.94421,1.17505,1.16901,0.66645,0.644,0.67966,0.53017,0.83732,1.21674,1.04693,0.00130168,0.00130168,0.00130168
11,447.194,0.96072,1.12023,1.16665,0.77274,0.61528,0.72282,0.5707,0.81524,0.97101,1.02185,0.00128753,0.00128753,0.00128753
12,485.307,0.95329,1.1237,1.16248,0.7491,0.68091,0.7362,0.56934,0.81423,1.07509,1.03529,0.00127338,0.00127338,0.00127338
13,523.492,0.95168,1.09049,1.1647,0.69582,0.71114,0.73763,0.5832,0.79899,0.95494,1.02202,0.00125923,0.00125923,0.00125923
14,561.973,0.93784,1.04715,1.14327,0.7302,0.70781,0.73437,0.56443,0.8098,0.98983,1.02648,0.00124509,0.00124509,0.00124509
15,600.254,0.90531,1.04617,1.14222,0.73566,0.69399,0.74704,0.59372,0.77512,0.908,1.00975,0.00123094,0.00123094,0.00123094
16,638.482,0.91607,1.01724,1.12919,0.70469,0.67416,0.73232,0.57237,0.806,1.00227,1.00871,0.00121679,0.00121679,0.00121679
17,676.746,0.90538,0.986,1.13107,0.84842,0.67582,0.78066,0.63252,0.75031,0.82886,0.99229,0.00120265,0.00120265,0.00120265
18,715.107,0.89453,0.98397,1.13377,0.755,0.70053,0.76538,0.6139,0.76494,0.87582,1.00905,0.0011885,0.0011885,0.0011885
19,753.277,0.9102,0.98163,1.1316,0.79339,0.72887,0.77564,0.6192,0.74812,0.84293,0.99405,0.00117435,0.00117435,0.00117435
20,791.504,0.87647,0.95047,1.11229,0.76378,0.69429,0.75985,0.60371,0.76587,0.88102,1.00084,0.00116021,0.00116021,0.00116021
21,829.691,0.87963,0.96549,1.12304,0.8174,0.64278,0.76638,0.61675,0.74616,0.84325,0.99271,0.00114606,0.00114606,0.00114606
22,868.159,0.87547,0.95977,1.11908,0.7844,0.71343,0.76104,0.60947,0.74538,0.83196,0.99634,0.00113191,0.00113191,0.00113191
23,906.203,0.86054,0.91896,1.11008,0.77707,0.71329,0.76676,0.61246,0.73242,0.83389,0.98222,0.00111776,0.00111776,0.00111776
24,944.401,0.86769,0.9272,1.1023,0.81361,0.71372,0.79467,0.64915,0.72142,0.79045,0.97425,0.00110362,0.00110362,0.00110362
25,982.569,0.85406,0.89275,1.09685,0.77262,0.72078,0.80196,0.64825,0.7335,0.78221,0.98248,0.00108947,0.00108947,0.00108947
26,1020.93,0.85276,0.90502,1.10836,0.77803,0.74152,0.80052,0.64688,0.73422,0.8239,0.98117,0.00107532,0.00107532,0.00107532
27,1059.09,0.84082,0.86901,1.09292,0.74536,0.74193,0.78894,0.62368,0.7334,0.80015,0.98512,0.00106118,0.00106118,0.00106118
28,1097.27,0.86773,0.89234,1.0952,0.80633,0.69321,0.79754,0.64883,0.7131,0.81621,0.97071,0.00104703,0.00104703,0.00104703
29,1135.44,0.83776,0.86951,1.09415,0.74651,0.74562,0.78453,0.6433,0.71288,0.77886,0.98418,0.00103288,0.00103288,0.00103288
30,1173.72,0.81843,0.87934,1.08756,0.80364,0.70871,0.78365,0.64625,0.7033,0.75561,0.96729,0.00101873,0.00101873,0.00101873
31,1211.73,0.82203,0.86182,1.07627,0.77426,0.70163,0.78819,0.63483,0.71937,0.79256,0.97626,0.00100459,0.00100459,0.00100459
32,1249.81,0.807,0.80835,1.08115,0.82947,0.7142,0.80641,0.65759,0.71943,0.7289,0.97913,0.00099044,0.00099044,0.00099044
33,1287.96,0.82405,0.82178,1.09154,0.80679,0.71789,0.77975,0.64059,0.71115,0.79641,0.96958,0.000976293,0.000976293,0.000976293
34,1326.37,0.82177,0.80901,1.07312,0.84627,0.67253,0.78251,0.63816,0.7131,0.77354,0.97006,0.000962146,0.000962146,0.000962146
35,1364.38,0.83643,0.79783,1.08547,0.82294,0.69907,0.80697,0.66228,0.71225,0.73125,0.97139,0.000947999,0.000947999,0.000947999
36,1402.51,0.80659,0.81574,1.07103,0.78894,0.71926,0.78964,0.64646,0.71032,0.75874,0.9664,0.000933851,0.000933851,0.000933851
37,1440.57,0.80693,0.8017,1.07465,0.77944,0.73936,0.79195,0.65545,0.68097,0.7464,0.95842,0.000919704,0.000919704,0.000919704
38,1478.77,0.79849,0.77839,1.07075,0.80955,0.71269,0.8074,0.66836,0.68623,0.77038,0.96407,0.000905557,0.000905557,0.000905557
39,1516.92,0.77765,0.75267,1.05054,0.80573,0.75234,0.82605,0.68769,0.69228,0.68839,0.95562,0.00089141,0.00089141,0.00089141
40,1555.15,0.78357,0.77727,1.05781,0.79442,0.75219,0.8052,0.65775,0.68867,0.7066,0.96072,0.000877263,0.000877263,0.000877263
41,1593.37,0.77689,0.74491,1.04743,0.85059,0.70168,0.81137,0.66897,0.68845,0.70388,0.96558,0.000863116,0.000863116,0.000863116
42,1631.73,0.76825,0.75067,1.05938,0.85455,0.71213,0.81891,0.67759,0.69075,0.69875,0.95836,0.000848969,0.000848969,0.000848969
43,1669.81,0.79116,0.74334,1.05761,0.82123,0.74912,0.82479,0.69058,0.67535,0.69178,0.95506,0.000834822,0.000834822,0.000834822
44,1708,0.7911,0.74291,1.06389,0.79721,0.74641,0.81409,0.67872,0.69271,0.70713,0.95268,0.000820675,0.000820675,0.000820675
45,1746.13,0.77251,0.7154,1.05162,0.84708,0.74509,0.82731,0.68479,0.68421,0.68635,0.96145,0.000806528,0.000806528,0.000806528
46,1784.61,0.81028,0.7477,1.06892,0.84785,0.72722,0.81953,0.68449,0.68524,0.67011,0.95997,0.00079238,0.00079238,0.00079238
47,1822.64,0.75575,0.70171,1.04177,0.84689,0.72409,0.80954,0.67395,0.68621,0.72068,0.96127,0.000778233,0.000778233,0.000778233
48,1860.78,0.76265,0.72407,1.04917,0.8027,0.75711,0.81669,0.6834,0.66392,0.69376,0.94778,0.000764086,0.000764086,0.000764086
49,1898.86,0.76219,0.71498,1.04846,0.8163,0.74844,0.83387,0.68761,0.68369,0.70053,0.95957,0.000749939,0.000749939,0.000749939
50,1937.1,0.77635,0.6977,1.03705,0.84388,0.74997,0.82639,0.68997,0.65874,0.66611,0.94305,0.000735792,0.000735792,0.000735792
51,1975.21,0.74732,0.6821,1.03592,0.84697,0.73907,0.83403,0.69212,0.66372,0.65733,0.94518,0.000721645,0.000721645,0.000721645
52,2013.32,0.73206,0.69417,1.02912,0.8165,0.75205,0.81651,0.6788,0.66934,0.67195,0.95305,0.000707498,0.000707498,0.000707498
53,2051.37,0.76312,0.6641,1.04564,0.82647,0.76709,0.83391,0.68529,0.67874,0.6472,0.94924,0.000693351,0.000693351,0.000693351
54,2089.72,0.752,0.68768,1.03764,0.85575,0.74567,0.83281,0.69377,0.67159,0.67708,0.9481,0.000679204,0.000679204,0.000679204
55,2127.75,0.74834,0.66738,1.0323,0.7957,0.75107,0.81155,0.67307,0.6623,0.6759,0.94926,0.000665057,0.000665057,0.000665057
56,2165.76,0.74753,0.68318,1.03959,0.87752,0.73509,0.83404,0.69475,0.67256,0.64453,0.94644,0.000650909,0.000650909,0.000650909
57,2204.05,0.71669,0.6509,1.02304,0.79239,0.73389,0.81931,0.68668,0.65511,0.70216,0.9382,0.000636762,0.000636762,0.000636762
58,2242.46,0.71974,0.6443,1.02762,0.8027,0.8033,0.83744,0.70134,0.66401,0.67642,0.94454,0.000622615,0.000622615,0.000622615
59,2280.66,0.71582,0.6434,1.02401,0.8499,0.75683,0.84649,0.71055,0.67472,0.64028,0.94994,0.000608468,0.000608468,0.000608468
60,2318.85,0.73281,0.62963,1.02792,0.83351,0.74218,0.81689,0.67333,0.67568,0.7052,0.94885,0.000594321,0.000594321,0.000594321
61,2356.96,0.74119,0.63435,1.02923,0.78985,0.77037,0.83239,0.69851,0.65293,0.6487,0.94528,0.000580174,0.000580174,0.000580174
62,2395.47,0.73226,0.63281,1.02998,0.78483,0.77553,0.83577,0.69427,0.65627,0.65521,0.94802,0.000566027,0.000566027,0.000566027
63,2433.62,0.70768,0.62848,1.01531,0.81286,0.79238,0.83972,0.70834,0.64943,0.62574,0.9466,0.00055188,0.00055188,0.00055188
64,2471.83,0.71191,0.62438,1.0185,0.85146,0.77992,0.85639,0.7224,0.64246,0.60763,0.93732,0.000537733,0.000537733,0.000537733
65,2510.02,0.71068,0.60628,1.01736,0.82281,0.7686,0.8403,0.70422,0.64827,0.65429,0.94017,0.000523586,0.000523586,0.000523586
66,2548.32,0.70515,0.60376,1.01865,0.81628,0.76586,0.84292,0.71185,0.6419,0.61597,0.94076,0.000509438,0.000509438,0.000509438
67,2586.38,0.71403,0.5942,1.02471,0.85367,0.7473,0.84197,0.70666,0.6447,0.62285,0.94066,0.000495291,0.000495291,0.000495291
68,2624.55,0.70119,0.58341,1.01509,0.84276,0.77255,0.83919,0.70668,0.65397,0.62231,0.94802,0.000481144,0.000481144,0.000481144
69,2662.81,0.69218,0.58434,1.00459,0.8329,0.76041,0.83212,0.69762,0.6491,0.64652,0.94525,0.000466997,0.000466997,0.000466997
70,2701,0.6935,0.5704,1.01086,0.87511,0.76493,0.85101,0.71518,0.64294,0.59946,0.93901,0.00045285,0.00045285,0.00045285
71,2739.05,0.71544,0.58952,1.01756,0.82245,0.78772,0.85357,0.72536,0.63481,0.59575,0.93396,0.000438703,0.000438703,0.000438703
72,2777.2,0.70082,0.58053,1.01072,0.85121,0.74807,0.81686,0.67747,0.65217,0.67196,0.94565,0.000424556,0.000424556,0.000424556
73,2815.24,0.68434,0.56322,1.01439,0.85127,0.77782,0.85235,0.72513,0.63879,0.59914,0.93905,0.000410409,0.000410409,0.000410409
74,2853.53,0.68123,0.5532,0.99982,0.8281,0.7645,0.84382,0.71212,0.64013,0.60851,0.93619,0.000396262,0.000396262,0.000396262
75,2891.57,0.69505,0.56498,1.01373,0.81081,0.79502,0.85141,0.71912,0.63842,0.59645,0.94047,0.000382115,0.000382115,0.000382115
76,2929.57,0.66283,0.54634,1.00071,0.81568,0.78027,0.85443,0.72275,0.64095,0.59198,0.93817,0.000367967,0.000367967,0.000367967
77,2967.65,0.67178,0.53471,1.00738,0.83043,0.76066,0.83845,0.70638,0.64565,0.62781,0.94141,0.00035382,0.00035382,0.00035382
78,3005.79,0.67917,0.538,0.99231,0.8281,0.75135,0.84421,0.7101,0.64165,0.61128,0.94064,0.000339673,0.000339673,0.000339673
79,3043.84,0.68299,0.54477,1.00179,0.86722,0.77407,0.85509,0.72279,0.64251,0.59513,0.93752,0.000325526,0.000325526,0.000325526
80,3081.92,0.67005,0.52492,0.99845,0.87805,0.77388,0.86646,0.73081,0.63733,0.56955,0.9395,0.000311379,0.000311379,0.000311379
81,3120.1,0.6703,0.53305,0.99808,0.84238,0.78621,0.85961,0.72272,0.62926,0.58492,0.93753,0.000297232,0.000297232,0.000297232
82,3158.35,0.66243,0.51328,0.99755,0.84778,0.76911,0.85543,0.7194,0.63564,0.59121,0.94163,0.000283085,0.000283085,0.000283085
83,3196.39,0.65471,0.50733,0.99783,0.8286,0.79288,0.85882,0.72623,0.63557,0.58576,0.93587,0.000268938,0.000268938,0.000268938
84,3234.52,0.64681,0.50036,0.99184,0.83694,0.77487,0.85607,0.72404,0.62718,0.58076,0.93214,0.000254791,0.000254791,0.000254791
85,3272.68,0.65657,0.4965,0.99496,0.83234,0.78119,0.85374,0.72285,0.64552,0.58463,0.93575,0.000240644,0.000240644,0.000240644
86,3311.12,0.63673,0.50185,0.98136,0.8732,0.74185,0.8541,0.71985,0.64204,0.58424,0.93792,0.000226497,0.000226497,0.000226497
87,3349.15,0.666,0.50632,1.00373,0.8237,0.78052,0.85365,0.72248,0.63384,0.56556,0.93349,0.000212349,0.000212349,0.000212349
88,3387.27,0.64835,0.49643,0.994,0.81856,0.7639,0.85662,0.7248,0.62176,0.59016,0.92946,0.000198202,0.000198202,0.000198202
89,3425.4,0.63273,0.48384,0.98554,0.85687,0.7734,0.85744,0.72538,0.62258,0.57316,0.93379,0.000184055,0.000184055,0.000184055
90,3463.64,0.64953,0.47587,0.99141,0.85436,0.76921,0.85917,0.72793,0.62449,0.58178,0.93127,0.000169908,0.000169908,0.000169908
91,3514.43,0.567,0.39776,0.90909,0.85474,0.75234,0.83849,0.71371,0.63109,0.59171,0.94005,0.000155761,0.000155761,0.000155761
92,3552.37,0.54621,0.3757,0.89689,0.82461,0.78225,0.85067,0.7239,0.62442,0.57257,0.93518,0.000141614,0.000141614,0.000141614
93,3590.95,0.55267,0.37049,0.90951,0.84222,0.79245,0.863,0.73652,0.62639,0.54498,0.93775,0.000127467,0.000127467,0.000127467
94,3628.92,0.55219,0.36773,0.90393,0.88477,0.7571,0.85075,0.72255,0.62597,0.57201,0.93758,0.00011332,0.00011332,0.00011332
95,3666.87,0.54743,0.35658,0.90548,0.8725,0.75526,0.85341,0.73222,0.6225,0.55942,0.93408,9.91726e-05,9.91726e-05,9.91726e-05
96,3704.89,0.54395,0.35398,0.89724,0.87672,0.74946,0.85888,0.73151,0.61997,0.55368,0.93083,8.50255e-05,8.50255e-05,8.50255e-05
97,3743.12,0.53818,0.34166,0.89957,0.85193,0.77304,0.85891,0.73362,0.61614,0.55615,0.93095,7.08784e-05,7.08784e-05,7.08784e-05
98,3781.11,0.53372,0.34149,0.89179,0.85351,0.77407,0.86057,0.73289,0.61731,0.55714,0.93123,5.67313e-05,5.67313e-05,5.67313e-05
99,3819.07,0.53499,0.33987,0.89577,0.86227,0.77328,0.85785,0.73409,0.62049,0.56072,0.9329,4.25842e-05,4.25842e-05,4.25842e-05
100,3857.31,0.51596,0.33803,0.88858,0.85655,0.77485,0.85618,0.73429,0.61803,0.55193,0.93268,2.84371e-05,2.84371e-05,2.84371e-05
